McDonald's,"Fast Food,Burgers,Coffee & Tea",1.5,501 N Mattis ,$,https://www.yelp.com/biz/mcdonalds-champaign-2?osq=Restaurants
McDonald's,"Fast Food,Burgers,Coffee & Tea",2,601 N Cunningham ,$,https://www.yelp.com/biz/mcdonalds-urbana?osq=Restaurants
McDonald's,"Coffee & Tea,Burgers,Fast Food",1.5,616 E Green St ,$,https://www.yelp.com/biz/mcdonalds-champaign-12?osq=Restaurants
Meatheads,Burgers,4,1305 S Neil St ,$$,https://www.yelp.com/biz/meatheads-champaign?osq=Restaurants
Merry Ann's Diner,"Diners,Breakfast & Brunch,American (Traditional)",3.5,1103 W Oregon St ,$,https://www.yelp.com/biz/merry-anns-diner-urbana-2?osq=Restaurants
Merry Ann's Diner,"Diners,Breakfast & Brunch,American (Traditional)",3,1510 S Neil St ,$,https://www.yelp.com/biz/merry-anns-diner-champaign?osq=Restaurants
Merry Ann's Diner,"American (New),Diners",0,701 S Gregory St ,,https://www.yelp.com/biz/merry-anns-diner-urbana-3?osq=Restaurants
Mia Za's Cafe,"Pizza,Italian,Cafes",3.5,629 E Green St ,$,https://www.yelp.com/biz/mia-zas-cafe-champaign?osq=Restaurants
Mid-Summer Lounge,"Chinese,Asian Fusion,Noodles",4,623 E Green St ,$,https://www.yelp.com/biz/mid-summer-lounge-champaign?osq=Restaurants
Miga,"Japanese,American (New),Sushi Bars",4,301 N Neil St ,$$$,https://www.yelp.com/biz/miga-champaign-2?osq=Restaurants
Mille's Grill,Restaurants,0,RR 4 ,,https://www.yelp.com/biz/milles-grill-champaign?osq=Restaurants
Ming Garden,Chinese,3,1804 Sangamon Dr ,$,https://www.yelp.com/biz/ming-garden-champaign?osq=Restaurants
Mirsung,"Grocery,Indian",3.5,49 E Green St ,$,https://www.yelp.com/biz/mirsung-champaign?osq=Restaurants
Mitsu&Tsaacaa,"Hot Pot,Bubble Tea",4,608 S 6th St ,,https://www.yelp.com/biz/mitsu-and-tsa%C5%8Dcaa-champaign?osq=Restaurants
Mo's Burritos,"Food Trucks,Mexican",5,1104 N Prospect Ave ,$,https://www.yelp.com/biz/mos-burritos-champaign-4?osq=Restaurants
Moe's Southwest Grill,"Mexican,Tex-Mex",3,2041 S Neil St ,$,https://www.yelp.com/biz/moes-southwest-grill-champaign?osq=Restaurants
Moki Sushi,"Sushi Bars,Japanese",3,2017 S Neil St ,,https://www.yelp.com/biz/moki-sushi-champaign?osq=Restaurants
Monical's Pizza,"Pizza,Italian",3,102 W Vine St ,,https://www.yelp.com/biz/monicals-pizza-tolono?osq=Restaurants
Monical's Pizza,"Pizza,Italian,Sandwiches",3.5,114 S Lombard St ,$$,https://www.yelp.com/biz/monicals-pizza-mahomet?osq=Restaurants
Monical's Pizza,"Pizza,Italian",3,205 N Mattis ,$$,https://www.yelp.com/biz/monicals-pizza-champaign-2?osq=Restaurants
Monical's Pizza,"Pizza,Italian",3,2720 Philo Rd ,$$,https://www.yelp.com/biz/monicals-pizza-urbana-3?osq=Restaurants
Mono Loco,Tacos,3.5,612 E Daniel St ,,https://www.yelp.com/biz/mono-loco-champaign?osq=Restaurants
Mr. Crab,"Seafood,Cajun/Creole",3.5,401 South 1st St ,,https://www.yelp.com/biz/mr-crab-champaign?osq=Restaurants
Murphy's Pub,"Pubs,American (New)",3.5,604 E Green St ,$,https://www.yelp.com/biz/murphys-pub-champaign?osq=Restaurants
My Taco Fiesta Part 3,Mexican,0,705 S Busey Ave ,,https://www.yelp.com/biz/my-taco-fiesta-part-3-urbana?osq=Restaurants
Nando Milano Trattoria,Italian,4,204 N Neil St ,$$$,https://www.yelp.com/biz/nando-milano-trattoria-champaign?osq=Restaurants
Nanjing Bistro,Chinese,3,508 E Green St ,,https://www.yelp.com/biz/nanjing-bistro-champaign?osq=Restaurants
NAYA,"Italian,Asian Fusion",4,212 E Green St ,,https://www.yelp.com/biz/naya-champaign?osq=Restaurants
Neil St Blues,"American (Traditional),Seafood,Cocktail Bars",3.5,301 N Neil St ,$$,https://www.yelp.com/biz/neil-st-blues-champaign-3?osq=Restaurants
Niro's Gyros,Greek,3.5,1007 W University Ave ,$,https://www.yelp.com/biz/niros-gyros-urbana?osq=Restaurants
Niro's Gyros,Greek,3.5,2001 W Springfield Ave ,$,https://www.yelp.com/biz/niros-gyros-champaign?osq=Restaurants
Niro's Gyros,Greek,5,401 W Kirby Ave ,,https://www.yelp.com/biz/niros-gyros-champaign-8?osq=Restaurants
Noodles & Company,"Noodles,Salad,Pasta Shops",3,528 East Grn ,$,https://www.yelp.com/biz/noodles-and-company-champaign?osq=Restaurants
Sbarro,Pizza,1,1401 W Green St ,$,https://www.yelp.com/biz/sbarro-urbana?osq=Restaurants
Sbarro,Pizza,1,2000 N Neil St ,$,https://www.yelp.com/biz/sbarro-champaign?osq=Restaurants
Scotty's Brewhouse,"Sports Bars,Burgers,Brewpubs",3,2001 S Neil St ,$$,https://www.yelp.com/biz/scottys-brewhouse-champaign?osq=Restaurants
Seven Saints,"American (Traditional),Pubs,Lounges",4,32 E Chester St ,$$,https://www.yelp.com/biz/seven-saints-champaign?osq=Restaurants
Shanghai 1938,Chinese,2,200 S Matthews ,$$,https://www.yelp.com/biz/shanghai-1938-urbana?osq=Restaurants
Shanghai 1938,Chinese,0,49 E Green St ,,https://www.yelp.com/biz/shanghai-1938-champaign-3?osq=Restaurants
Shiquan,Szechuan,0,212 E Green St ,,https://www.yelp.com/biz/shiquan-champaign-2?osq=Restaurants
Siam Terrace,Thai,4,212 W Main St ,$$,https://www.yelp.com/biz/siam-terrace-urbana?osq=Restaurants
Sidney Saloon,"Pizza,Sandwiches,Bars",4.5,204 S David St ,,https://www.yelp.com/biz/sidney-saloon-sidney?osq=Restaurants
Signature Grill,"Mediterranean,Indian,Mexican",4.5,505 E Green St ,$,https://www.yelp.com/biz/signature-grill-champaign-2?osq=Restaurants
Silvercreek,"American (New),Breakfast & Brunch,Venues & Event Spaces",3.5,402 N Race St ,$$,https://www.yelp.com/biz/silvercreek-urbana?osq=Restaurants
Sitara,"Indian,Vegetarian",4,114 S Race St ,$$,https://www.yelp.com/biz/sitara-urbana?osq=Restaurants
Slim Chickens,"Southern,Chicken Wings,Comfort Food",3,2037 S Neil St ,$,https://www.yelp.com/biz/slim-chickens-champaign?osq=Restaurants
Smoky's House BBQ,Barbeque,3.5,1333 Savoy Plaza Ln ,$$,https://www.yelp.com/biz/smokys-house-bbq-savoy-2?osq=Restaurants
Sonic Drive-In,"Fast Food,Burgers,Ice Cream & Frozen Yogurt",3.5,101 Calvin St ,$,https://www.yelp.com/biz/sonic-drive-in-savoy?osq=Restaurants
Sonic Drive-In,"Fast Food,Burgers,Ice Cream & Frozen Yogurt",3,601 N Mattis Ave ,$,https://www.yelp.com/biz/sonic-drive-in-champaign-2?osq=Restaurants
South China Restaurant,Chinese,3.5,25 E Springfield Ave ,$$,https://www.yelp.com/biz/south-china-restaurant-champaign?osq=Restaurants
Spicy Tang,Chinese,2.5,607 S 6th St ,$$,https://www.yelp.com/biz/spicy-tang-champaign-2?osq=Restaurants
Spoon House Korean Kitchen,Korean,3.5,616 E Green St ,$$,https://www.yelp.com/biz/spoon-house-korean-kitchen-champaign?osq=Restaurants
Stango Cuisine,"African,Caribbean,American (New)",5,140 Lincoln Square ,$,https://www.yelp.com/biz/stango-cuisine-urbana?osq=Restaurants
Star Karaoke,"Karaoke,Korean",3,1503 Lyndhurst Aly ,$$,https://www.yelp.com/biz/star-karaoke-savoy?osq=Restaurants
StarcBBQ,"Korean,Barbeque",3.5,1209 Savoy Plaza Ln ,,https://www.yelp.com/biz/star%E7%81%ABbbq-savoy?osq=Restaurants
