business_name,categories,rating,address,price_range,url
O'Charley's Restaurant & Bar,"American (Traditional),Burgers,Southern",2.5,"730 W Town Center Blvd , Champaign, IL",$$,https://www.yelp.com/biz/o-charleys-restaurant-and-bar-champaign?osq=Restaurants
Oishi,"Sushi Bars,Asian Fusion",3,"2501 N Prospect Ave , Champaign, IL",$$,https://www.yelp.com/biz/oishi-champaign?osq=Restaurants
Old Chicago,"Pizza,American (Traditional),Sports Bars",3,"1910 N Neil St , Champaign, IL",$$,https://www.yelp.com/biz/old-chicago-champaign-2?osq=Restaurants
Old Time Meat & Deli Shoppe,"Meat Shops,Delis",5,"2018 S Neil St , Champaign, IL",$$,https://www.yelp.com/biz/old-time-meat-and-deli-shoppe-champaign?osq=Restaurants
Olive Garden Italian Restaurant,"Italian,Salad,Soup",3,"30 E Anthony Dr , Champaign, IL",$$,https://www.yelp.com/biz/olive-garden-italian-restaurant-champaign-2?osq=Restaurants
One Stop Food & Liquors,"Beer, Wine & Spirits,International Grocery,Delis",0,"701 N Neil St , Champaign, IL",,https://www.yelp.com/biz/one-stop-food-and-liquors-champaign?osq=Restaurants
Original Pancake House,Breakfast & Brunch,4,"1909 W Springfield Ave , Champaign, IL",$$,https://www.yelp.com/biz/original-pancake-house-champaign?osq=Restaurants
Outback Steakhouse,Steakhouses,3.5,"2402 N Prospect Ave , Champaign, IL",$$,https://www.yelp.com/biz/outback-steakhouse-champaign?osq=Restaurants
Ozu Ramen,"Ramen,Asian Fusion",3.5,"601 S 6th St , Champaign, IL",$$,https://www.yelp.com/biz/ozu-ramen-champaign?osq=Restaurants
Pancheros Mexican Grill,Mexican,2.5,"102 E University Ave , Champaign, IL",$,https://www.yelp.com/biz/pancheros-mexican-grill-urbana?osq=Restaurants
Pancheros Mexican Grill,Mexican,2.5,"2009 S Neil St , Champaign, IL",$,https://www.yelp.com/biz/pancheros-mexican-grill-champaign-3?osq=Restaurants
Panda Express,"Chinese,Fast Food",2.5,"106 E University Ave , Champaign, IL",,https://www.yelp.com/biz/panda-express-urbana-2?osq=Restaurants
Panda Express,"Fast Food,Chinese",3.5,"2000 N Neil St , Champaign, IL",$,https://www.yelp.com/biz/panda-express-champaign?osq=Restaurants
Panda Express,"Chinese,Fast Food",3.5,"2521 N Prospect Ave , Champaign, IL",$,https://www.yelp.com/biz/panda-express-champaign-2?osq=Restaurants
Panda Express,"Chinese,Fast Food",3,"627 S Wright St , Champaign, IL",$$,https://www.yelp.com/biz/panda-express-champaign-3?osq=Restaurants
Panera Bread,"Sandwiches,Salad,Soup",2.5,"1765 W Kirby Ave , Champaign, IL",$$,https://www.yelp.com/biz/panera-bread-champaign-2?osq=Restaurants
Panera Bread,"Sandwiches,Salad,Soup",2,"1903 Convenience Pl , Champaign, IL",$$,https://www.yelp.com/biz/panera-bread-champaign-4?osq=Restaurants
Panera Bread,"Sandwiches,Salad,Soup",2.5,"616 E Green St , Champaign, IL",$$,https://www.yelp.com/biz/panera-bread-champaign-3?osq=Restaurants
Papa Del's Pizza,"Pizza,Salad,Sandwiches",3.5,"1201 S Neil St , Champaign, IL",$$,https://www.yelp.com/biz/papa-dels-pizza-champaign-4?osq=Restaurants
Papa John's Pizza,Pizza,2.5,"106 E Green St , Champaign, IL",$,https://www.yelp.com/biz/papa-johns-pizza-champaign-2?osq=Restaurants
Papa John's Pizza,Pizza,2,"1307 E Florida Ave , Champaign, IL",$,https://www.yelp.com/biz/papa-johns-pizza-urbana?osq=Restaurants
