business_name,categories,rating,address,price_range,url
A Plus VIP Lounge,"Cafes,Karaoke",3.5,"214 W Main St , Illinois",$$,https://www.yelp.com/biz/a-plus-vip-lounge-urbana?osq=Restaurants
Alexander's Steakhouse,Steakhouses,3,"202 W Anthony Dr , Illinois",$$$,https://www.yelp.com/biz/alexanders-steakhouse-champaign?osq=Restaurants
Ali Yacoub,Restaurants,0,"1001 N Dunlap Ave , Illinois",,https://www.yelp.com/biz/ali-yacoub-savoy?osq=Restaurants
Amaravati Indian Royal Cuisine,Indian,3.5,"2501 Village Green Pl , Illinois",$,https://www.yelp.com/biz/amaravati-indian-royal-cuisine-champaign?osq=Restaurants
Ambar India,Indian,3.5,"605 S Wright St , Illinois",$$,https://www.yelp.com/biz/ambar-india-champaign?osq=Restaurants
Applebee's Grill + Bar,"American (Traditional),Sports Bars,Burgers",2.5,"1201 N Dunlap Ave , Illinois",$$,https://www.yelp.com/biz/applebees-grill-bar-savoy?osq=Restaurants
Applebee's Grill + Bar,"American (Traditional),Sports Bars,Burgers",2,"2121 N Prospect , Illinois",$$,https://www.yelp.com/biz/applebees-grill-bar-champaign?osq=Restaurants
Arby's,"Fast Food,Sandwiches",3,"1502 N Prospect Ave , Illinois",$,https://www.yelp.com/biz/arbys-champaign-5?osq=Restaurants
Arby's,"Fast Food,Sandwiches",2,"1913 W Springfield Ave , Illinois",$,https://www.yelp.com/biz/arbys-champaign-3?osq=Restaurants
Arby's,"Fast Food,Sandwiches",3,"207 N Lombard St , Illinois",$,https://www.yelp.com/biz/arbys-mahomet?osq=Restaurants
Arby's,"Sandwiches,Fast Food",2,"2310 S Neil St , Illinois",$,https://www.yelp.com/biz/arbys-champaign?osq=Restaurants
Arby's,"Fast Food,Sandwiches",3.5,"509 N Cunningham Ave , Illinois",$,https://www.yelp.com/biz/arbys-urbana?osq=Restaurants
A-Ri-Rang,Korean,4,"607 S Wright St , Illinois",$,https://www.yelp.com/biz/a-ri-rang-champaign?osq=Restaurants
Aroma Cafe,"Coffee & Tea,Cafes",4.5,"118 N Neil St , Illinois",$,https://www.yelp.com/biz/aroma-cafe-champaign?osq=Restaurants
Array Cafe,Cafes,3.5,"1206 W Gregory Dr , Illinois",,https://www.yelp.com/biz/array-cafe-urbana?osq=Restaurants
Asian Noodle and Sushi,"Sushi Bars,Noodles",3.5,"305 W Cedar St , Illinois",,https://www.yelp.com/biz/asian-noodle-and-sushi-champaign-2?osq=Restaurants
Asian Taste Restaurant,Chinese,3.5,"502 E John St , Illinois",$,https://www.yelp.com/biz/asian-taste-restaurant-champaign?osq=Restaurants
Attie's Bar & Grill,"American (Traditional),Bars",3,"2600 S Stone Creek Blvd , Illinois",$$,https://www.yelp.com/biz/atties-bar-and-grill-urbana?osq=Restaurants
Auntie Anne's,Fast Food,3.5,"2000 N Neil St , Illinois",$,https://www.yelp.com/biz/auntie-annes-champaign?osq=Restaurants
Auntie Lee's Chinese Kitchen,Chinese,2.5,"49 E Green St , Illinois",$$,https://www.yelp.com/biz/auntie-lees-chinese-kitchen-champaign?osq=Restaurants
Ay Caramba Mexican Food,"New Mexican Cuisine,Mexican,Caterers",0,"703 Eastwood Dr , Illinois",,https://www.yelp.com/biz/ay-caramba-mexican-food-mahomet?osq=Restaurants
B Won,Korean,3.5,"2006 S Neil St , Illinois",$$,https://www.yelp.com/biz/b-won-champaign?osq=Restaurants
Ba'get Sandwich Shop,"Vietnamese,Sandwiches",4.5,"1713 W Kirby Ave , Illinois",,https://www.yelp.com/biz/baget-sandwich-shop-champaign?osq=Restaurants
Bab Plus Korean Restaurant,Korean,3.5,"700 S Gregory St , Illinois",$$,https://www.yelp.com/biz/bab-plus-korean-restaurant-urbana?osq=Restaurants
Baldarotta's Porketta & Sicilian Sausage,"Sandwiches,Pizza",5,"300 S Broadway Ave , Illinois",,https://www.yelp.com/biz/baldarottas-porketta-and-sicilian-sausage-urbana?osq=Restaurants
Bangkok Thai & PHO 911,Thai,3.5,"1104 N Cunningham Ave , Illinois",$$,https://www.yelp.com/biz/bangkok-thai-and-pho-911-urbana?osq=Restaurants
Bangkok Thai and Pho 911,Thai,4,"410 E Green St , Illinois",$,https://www.yelp.com/biz/bangkok-thai-and-pho-911-champaign?osq=Restaurants
Bar-B-Q Heaven,"Barbeque,Street Vendors",4," , Illinois",,https://www.yelp.com/biz/bar-b-q-heaven-champaign?osq=Restaurants
Basil Thai Kitchen,Thai,5,"2000 N Neil St , Illinois",,https://www.yelp.com/biz/basil-thai-kitchen-champaign?osq=Restaurants
Basil Thai Urbana,Thai,3,"701 S Gregory St , Illinois",$,https://www.yelp.com/biz/basil-thai-urbana-urbana?osq=Restaurants
Baxter's American Grille,"American (Traditional),Steakhouses,Bars",4.5,"100 Trade Centre Dr , Illinois",$$,https://www.yelp.com/biz/baxters-american-grille-champaign?osq=Restaurants
BBQ Premium Chicken,Korean,3,"700 S Gregory St , Illinois",$$,https://www.yelp.com/biz/bbq-premium-chicken-urbana?osq=Restaurants
Beckman Cafe,Cafeteria,3,"405 N Mathews Ave , Illinois",$,https://www.yelp.com/biz/beckman-cafe-urbana?osq=Restaurants
Best Wok,Chinese,3,"907 W Marketview Dr , Illinois",$,https://www.yelp.com/biz/best-wok-champaign?osq=Restaurants
Betsy's Bistro at Parkland,Cafes,4,"2400 W Bradley Ave , Illinois",,https://www.yelp.com/biz/betsys-bistro-at-parkland-champaign?osq=Restaurants
Bevier Cafe,"American (New),Cafes",4.5,"905 S Goodwin Ave , Illinois",$,https://www.yelp.com/biz/bevier-cafe-urbana?osq=Restaurants
Biaggi's Ristorante Italiano,Italian,3.5,"2235 S Neil St , Illinois",$$,https://www.yelp.com/biz/biaggis-ristorante-italiano-champaign-2?osq=Restaurants
Big Grove Tavern,"American (New),Pubs,Breakfast & Brunch",3.5,"1 E Main St , Illinois",$$,https://www.yelp.com/biz/big-grove-tavern-champaign?osq=Restaurants
Big J J Fish & Chicken,"Chicken Wings,Fish & Chips,Fast Food",4,"1114 N Market St , Illinois",$,https://www.yelp.com/biz/big-j-j-fish-and-chicken-champaign?osq=Restaurants
BIGGBY COFFEE,"Coffee & Tea,Cafes",4,"401 S Mattis Ave , Illinois",$,https://www.yelp.com/biz/biggby-coffee-champaign?osq=Restaurants
Billy Barooz Bar & Grill,"Sports Bars,American (Traditional)",3.5,"2521 Village Green Pl , Illinois",$$,https://www.yelp.com/biz/billy-barooz-bar-and-grill-champaign?osq=Restaurants
Black Dog Smoke & Ale House,"Barbeque,American (Traditional)",4.5,"201 N Broadway Ave , Illinois",$$,https://www.yelp.com/biz/black-dog-smoke-and-ale-house-urbana?osq=Restaurants
Black Dog Smoke & Ale House,"Barbeque,Bars",4,"320 N Chestnut St , Illinois",$$,https://www.yelp.com/biz/black-dog-smoke-and-ale-house-champaign?osq=Restaurants
Blaze Fast-Fire'd Pizza,"Salad,Fast Food,Pizza",2,"1401 W Green St , Illinois",,https://www.yelp.com/biz/blaze-fast-fired-pizza-urbana?osq=Restaurants
Blaze Fast-Fire'd Pizza,"Salad,Fast Food,Pizza",3.5,"2610 N Prospect Ave , Illinois",$,https://www.yelp.com/biz/blaze-fast-fired-pizza-champaign?osq=Restaurants
Blaze Pizza,Pizza,1,"1401 W Green St , Illinois",,https://www.yelp.com/biz/blaze-pizza-urbana?osq=Restaurants
